GTEX-O5YT	GTEX-O5YT-0007-SM-32PK7	SRR8227756
GTEX-O5YW	GTEX-O5YW-0006-SM-3LK6E	SRR8227786
GTEX-OHPK	GTEX-OHPK-0006-SM-2HMKH	SRR8227805
GTEX-OHPM	GTEX-OHPM-0006-SM-2HMKU	SRR8227841
GTEX-OHPN	GTEX-OHPN-0005-SM-2YUML	SRR8227858
GTEX-OIZF	GTEX-OIZF-0006-SM-2I5GQ	SRR8227882
GTEX-OIZH	GTEX-OIZH-0005-SM-2HMJN	SRR8227895
GTEX-OIZI	GTEX-OIZI-0005-SM-2XCED	SRR8227912
GTEX-OOBK	GTEX-OOBK-0005-SM-2YUMG	SRR8227942
GTEX-OXRL	GTEX-OXRL-0005-SM-3LK6A	SRR8227976
GTEX-OXRO	GTEX-OXRO-0006-SM-2I5EM	SRR8228004
GTEX-OXRP	GTEX-OXRP-0006-SM-2I3FN	SRR8228019
GTEX-P44H	GTEX-P44H-0006-SM-2XCFB	SRR8228050
GTEX-P4PP	GTEX-P4PP-0005-SM-2HMKX	SRR8228071
GTEX-P4PQ	GTEX-P4PQ-0005-SM-2HMKJ	SRR8228094
GTEX-P4QS	GTEX-P4QS-0005-SM-2I3EY	SRR8228119
GTEX-P78B	GTEX-P78B-0005-SM-2I5GM	SRR8228153
GTEX-PLZ4	GTEX-PLZ4-0006-SM-5SI8L	SRR8228174
GTEX-PLZ5	GTEX-PLZ5-0006-SM-5S2W5	SRR8228188
GTEX-PLZ6	GTEX-PLZ6-0006-SM-33HBZ	SRR8228204
GTEX-POMQ	GTEX-POMQ-0006-SM-5SI7D	SRR8228229
GTEX-PSDG	GTEX-PSDG-0005-SM-3GADC	SRR8228257
GTEX-PVOW	GTEX-PVOW-0006-SM-3NMB8	SRR8228275
GTEX-PW2O	GTEX-PW2O-0006-SM-2I3DV	SRR8228293
GTEX-PWCY	GTEX-PWCY-0005-SM-33HBP	SRR8228306
GTEX-PWN1	GTEX-PWN1-0006-SM-5SI7T	SRR8228332
GTEX-PX3G	GTEX-PX3G-0006-SM-5SI7E	SRR8228379
GTEX-Q2AG	GTEX-Q2AG-0005-SM-5SI7F	SRR8228403
GTEX-Q2AH	GTEX-Q2AH-0005-SM-33HBR	SRR8228434
GTEX-Q2AI	GTEX-Q2AI-0006-SM-2I3FG	SRR8228456
GTEX-Q734	GTEX-Q734-0006-SM-2I3FJ	SRR8228472
GTEX-QCQG	GTEX-QCQG-0006-SM-5SI8M	SRR8228491
GTEX-QDT8	GTEX-QDT8-0006-SM-5SI8N	SRR8228512
GTEX-QDVJ	GTEX-QDVJ-0005-SM-2TC5X	SRR8228540
GTEX-QDVN	GTEX-QDVN-0006-SM-48U1R	SRR8228557
GTEX-QEG4	GTEX-QEG4-0006-SM-2I5FY	SRR8228582
GTEX-QEG5	GTEX-QEG5-0006-SM-2I5FZ	SRR8228598
GTEX-QESD	GTEX-QESD-0006-SM-2I5G6	SRR8228634
GTEX-QLQ7	GTEX-QLQ7-0005-SM-2S1QP	SRR8228648
GTEX-QLQW	GTEX-QLQW-0005-SM-2S1RA	SRR8228667
GTEX-QMRM	GTEX-QMRM-0005-SM-3NB2A	SRR8228697
GTEX-QV31	GTEX-QV31-0006-SM-793B5	SRR8228715
GTEX-QVJO	GTEX-QVJO-0006-SM-2S1RC	SRR8228750
GTEX-QVUS	GTEX-QVUS-0006-SM-3GAE8	SRR8228774
GTEX-QXCU	GTEX-QXCU-0006-SM-2TC5K	SRR8228788
GTEX-R3RS	GTEX-R3RS-0005-SM-3GAEH	SRR8228800
GTEX-R53T	GTEX-R53T-0005-SM-3GADK	SRR8228812
GTEX-R55C	GTEX-R55C-0005-SM-3GAE9	SRR8228829
GTEX-R55D	GTEX-R55D-0006-SM-3GIJS	SRR8228844
GTEX-R55E	GTEX-R55E-0006-SM-2TC5G	SRR8228857
GTEX-R55G	GTEX-R55G-0006-SM-2TC6O	SRR8228891
GTEX-REY6	GTEX-REY6-0005-SM-2TF54	SRR8228911
GTEX-RM2N	GTEX-RM2N-0006-SM-2TF5H	SRR8228928
GTEX-RN64	GTEX-RN64-0005-SM-793B4	SRR8228945
GTEX-RNOR	GTEX-RNOR-0005-SM-2TF4Z	SRR8228958
GTEX-RTLS	GTEX-RTLS-0006-SM-2TF58	SRR8228981
GTEX-RU1J	GTEX-RU1J-0006-SM-2TF6M	SRR8229000
GTEX-RU72	GTEX-RU72-0006-SM-2TF65	SRR8229014
GTEX-RUSQ	GTEX-RUSQ-0006-SM-2TF6P	SRR8229045
GTEX-RVPV	GTEX-RVPV-0006-SM-2TF6Q	SRR8229080
GTEX-RWS6	GTEX-RWS6-0005-SM-2XCAN	SRR8229092
GTEX-RWSA	GTEX-RWSA-0005-SM-2XCAO	SRR8229112
GTEX-S32W	GTEX-S32W-0006-SM-2XCAK	SRR8229128
GTEX-S33H	GTEX-S33H-0005-SM-2XCAL	SRR8229150
GTEX-S341	GTEX-S341-0006-SM-3NM8D	SRR8229168
GTEX-S7PM	GTEX-S7PM-0006-SM-3NM8C	SRR8229276
GTEX-S7SE	GTEX-S7SE-0005-SM-2XCEA	SRR8229284
GTEX-S95S	GTEX-S95S-0005-SM-2XCEC	SRR8229323
GTEX-SE5C	GTEX-SE5C-0006-SM-4BRW5	SRR8229337
GTEX-SIU8	GTEX-SIU8-0006-SM-2XCE5	SRR8229367
GTEX-SJXC	GTEX-SJXC-0005-SM-2XCE7	SRR8229378
GTEX-SN8G	GTEX-SN8G-0006-SM-32PLD	SRR8229390
GTEX-SNOS	GTEX-SNOS-0006-SM-32PLH	SRR8229416
GTEX-SSA3	GTEX-SSA3-0005-SM-32QOT	SRR8229434
GTEX-T2YK	GTEX-T2YK-0005-SM-32QOV	SRR8229481
GTEX-T5JC	GTEX-T5JC-0005-SM-4DM7B	SRR8229489
GTEX-T5JW	GTEX-T5JW-0005-SM-3GADE	SRR8229518
GTEX-T6MN	GTEX-T6MN-0005-SM-32PLJ	SRR8229536
GTEX-T6MO	GTEX-T6MO-0006-SM-32QOU	SRR8229565
GTEX-T8EM	GTEX-T8EM-0006-SM-3DB71	SRR8229584
GTEX-TKQ1	GTEX-TKQ1-0006-SM-33HBI	SRR8229600
GTEX-TKQ2	GTEX-TKQ2-0006-SM-33HBH	SRR8229615
GTEX-TML8	GTEX-TML8-0005-SM-32QPA	SRR8229634
GTEX-TMMY	GTEX-TMMY-0005-SM-33HBN	SRR8229649
GTEX-TMZS	GTEX-TMZS-0006-SM-3DB8G	SRR8229673
GTEX-TSE9	GTEX-TSE9-0005-SM-4DXUF	SRR8229678
GTEX-U3ZG	GTEX-U3ZG-0006-SM-47JWX	SRR8229706
GTEX-U3ZH	GTEX-U3ZH-0005-SM-3DB72	SRR8229710
GTEX-U3ZN	GTEX-U3ZN-0006-SM-3DB7Y	SRR8229747
GTEX-U412	GTEX-U412-0006-SM-3DB8J	SRR8229772
GTEX-U4B1	GTEX-U4B1-0006-SM-3DB8E	SRR8229783
GTEX-U8T8	GTEX-U8T8-0005-SM-3DB8F	SRR8229802
GTEX-U8XE	GTEX-U8XE-0005-SM-3DB8I	SRR8229813
GTEX-UJHI	GTEX-UJHI-0006-SM-3DB8H	SRR8229835
GTEX-UJMC	GTEX-UJMC-0005-SM-3GACU	SRR8229854
GTEX-UPJH	GTEX-UPJH-0006-SM-3GACW	SRR8229887
GTEX-UPK5	GTEX-UPK5-0006-SM-3GAD8	SRR8229897
GTEX-UTHO	GTEX-UTHO-0006-SM-3NMCC	SRR8229915
GTEX-V1D1	GTEX-V1D1-0006-SM-3NMCE	SRR8229937
GTEX-V955	GTEX-V955-0005-SM-3P5ZC	SRR8229957
GTEX-VJWN	GTEX-VJWN-0005-SM-3GIKF	SRR8229976
GTEX-VJYA	GTEX-VJYA-0005-SM-3P5ZD	SRR8229983
