Run	Sample_Name	body_site	submitted_subject_id
SRR8221166	GTEX-13O3P-1326-SM-5K7Y8	Esophagus - Muscularis	GTEX-13O3P
SRR1402962	GTEX-13S7M-0226-SM-5S2UG	Adipose - Subcutaneous	GTEX-13S7M
SRR8221690	GTEX-13S7M-0226-SM-5S2UG	Adipose - Subcutaneous	GTEX-13S7M
SRR1402986	GTEX-1399S-1726-SM-5L3DI	Lung	GTEX-1399S
SRR8220346	GTEX-1399S-1726-SM-5L3DI	Lung	GTEX-1399S
SRR1403005	GTEX-Y8LW-1926-SM-4WWFZ	Adipose - Subcutaneous	GTEX-Y8LW
SRR8231485	GTEX-Y8LW-1926-SM-4WWFZ	Adipose - Subcutaneous	GTEX-Y8LW
SRR1403028	GTEX-Z9EW-0626-SM-5HL95	Esophagus - Muscularis	GTEX-Z9EW
SRR8231792	GTEX-Z9EW-0626-SM-5HL95	Esophagus - Muscularis	GTEX-Z9EW
SRR1403050	GTEX-13X6J-0011-R5b-SM-5PNWT	Brain - Caudate (basal ganglia)	GTEX-13X6J
SRR8221903	GTEX-13X6J-0011-R5b-SM-5PNWT	Brain - Caudate (basal ganglia)	GTEX-13X6J
SRR1403072	GTEX-YB5K-0426-SM-5LUA4	Artery - Coronary	GTEX-YB5K
SRR8231541	GTEX-YB5K-0426-SM-5LUA4	Artery - Coronary	GTEX-YB5K
SRR1403089	GTEX-132AR-2426-SM-5IFFD	Stomach	GTEX-132AR
SRR8220202	GTEX-132AR-2426-SM-5IFFD	Stomach	GTEX-132AR
SRR1403110	GTEX-ZYFG-0326-SM-5E45Z	Artery - Aorta	GTEX-ZYFG
SRR8232800	GTEX-ZYFG-0326-SM-5E45Z	Artery - Aorta	GTEX-ZYFG
SRR1403133	GTEX-11P82-1826-SM-5PNYJ	Muscle - Skeletal	GTEX-11P82
SRR8219059	GTEX-11P82-1826-SM-5PNYJ	Muscle - Skeletal	GTEX-11P82
SRR1403154	GTEX-12WSC-1726-SM-5GCN3	Adipose - Visceral (Omentum)	GTEX-12WSC
SRR8219601	GTEX-12WSC-1726-SM-5GCN3	Adipose - Visceral (Omentum)	GTEX-12WSC
SRR1403177	GTEX-ZVZQ-0326-SM-59HLL	Skin - Sun Exposed (Lower leg)	GTEX-ZVZQ
SRR8232704	GTEX-ZVZQ-0326-SM-59HLL	Skin - Sun Exposed (Lower leg)	GTEX-ZVZQ
SRR1403199	GTEX-12WSD-1826-SM-5GCOA	Esophagus - Mucosa	GTEX-12WSD
SRR8219631	GTEX-12WSD-1826-SM-5GCOA	Esophagus - Mucosa	GTEX-12WSD
SRR1403222	GTEX-13NYB-0011-R5a-SM-5MR45	Brain - Caudate (basal ganglia)	GTEX-13NYB
