GTEX-QCQG	GTEX-QCQG-0006-SM-5SI8M	SRR1352530
GTEX-QDT8	GTEX-QDT8-0006-SM-5SI8N	SRR1341164
GTEX-QDVJ	GTEX-QDVJ-0005-SM-2TC5X	SRR615177
GTEX-QDVN	GTEX-QDVN-0006-SM-48U1R	SRR1096571
GTEX-QEG4	GTEX-QEG4-0006-SM-2I5FY	SRR601581
GTEX-QEG5	GTEX-QEG5-0006-SM-2I5FZ	SRR598220
GTEX-QESD	GTEX-QESD-0006-SM-2I5G6	SRR602217
GTEX-QLQ7	GTEX-QLQ7-0005-SM-2S1QP	SRR612827
GTEX-QLQW	GTEX-QLQW-0005-SM-2S1RA	SRR614143
GTEX-QMRM	GTEX-QMRM-0005-SM-3NB2A	SRR819024
GTEX-QVJO	GTEX-QVJO-0006-SM-2S1RC	SRR615299
GTEX-QVUS	GTEX-QVUS-0006-SM-3GAE8	SRR656203
GTEX-QXCU	GTEX-QXCU-0006-SM-2TC5K	SRR613963
GTEX-R3RS	GTEX-R3RS-0005-SM-3GAEH	SRR659971
GTEX-R45C	GTEX-R45C-0006-SM-3GAD6	SRR662294
GTEX-R53T	GTEX-R53T-0005-SM-3GADK	SRR663513
GTEX-R55C	GTEX-R55C-0005-SM-3GAE9	SRR659319
GTEX-R55D	GTEX-R55D-0006-SM-3GIJS	SRR661084
GTEX-R55E	GTEX-R55E-0006-SM-2TC5G	SRR615563
GTEX-R55G	GTEX-R55G-0006-SM-2TC6O	SRR614179
GTEX-REY6	GTEX-REY6-0005-SM-2TF54	SRR612190
GTEX-RM2N	GTEX-RM2N-0006-SM-2TF5H	SRR614167
GTEX-RNOR	GTEX-RNOR-0005-SM-2TF4Z	SRR614311
GTEX-RTLS	GTEX-RTLS-0006-SM-2TF58	SRR614131
GTEX-RU1J	GTEX-RU1J-0006-SM-2TF6M	SRR614960
GTEX-RU72	GTEX-RU72-0006-SM-2TF65	SRR614011
GTEX-RUSQ	GTEX-RUSQ-0006-SM-2TF6P	SRR615117
GTEX-RVPV	GTEX-RVPV-0006-SM-2TF6Q	SRR614767
GTEX-RWS6	GTEX-RWS6-0005-SM-2XCAN	SRR658093
GTEX-RWSA	GTEX-RWSA-0005-SM-2XCAO	SRR661242
GTEX-S32W	GTEX-S32W-0006-SM-2XCAK	SRR659295
GTEX-S33H	GTEX-S33H-0005-SM-2XCAL	SRR659001
GTEX-S341	GTEX-S341-0006-SM-3NM8D	SRR810853
GTEX-S7PM	GTEX-S7PM-0006-SM-3NM8C	SRR809185
GTEX-S7SE	GTEX-S7SE-0005-SM-2XCEA	SRR654921
GTEX-S95S	GTEX-S95S-0005-SM-2XCEC	SRR660378
GTEX-SE5C	GTEX-SE5C-0006-SM-4BRW5	SRR1083432
GTEX-SIU8	GTEX-SIU8-0006-SM-2XCE5	SRR663717
GTEX-SJXC	GTEX-SJXC-0005-SM-2XCE7	SRR663249
GTEX-SN8G	GTEX-SN8G-0006-SM-32PLD	SRR658790
GTEX-SNMC	GTEX-SNMC-0006-SM-2XCFE	SRR660042
GTEX-SSA3	GTEX-SSA3-0005-SM-32QOT	SRR660859
GTEX-T2YK	GTEX-T2YK-0005-SM-32QOV	SRR661577
GTEX-T5JC	GTEX-T5JC-0005-SM-4DM7B	SRR1091817
GTEX-T5JW	GTEX-T5JW-0005-SM-3GADE	SRR656445
GTEX-T6MN	GTEX-T6MN-0005-SM-32PLJ	SRR660685
GTEX-T6MO	GTEX-T6MO-0006-SM-32QOU	SRR656223
GTEX-T8EM	GTEX-T8EM-0006-SM-3DB71	SRR661553
GTEX-TKQ1	GTEX-TKQ1-0006-SM-33HBI	SRR662067
GTEX-TKQ2	GTEX-TKQ2-0006-SM-33HBH	SRR657707
GTEX-TML8	GTEX-TML8-0005-SM-32QPA	SRR657480
GTEX-TMMY	GTEX-TMMY-0005-SM-33HBN	SRR663898
GTEX-TMZS	GTEX-TMZS-0006-SM-3DB8G	SRR656782
GTEX-TSE9	GTEX-TSE9-0005-SM-4DXUF	SRR1081712
GTEX-U3ZG	GTEX-U3ZG-0006-SM-47JWX	SRR1090508
GTEX-U3ZH	GTEX-U3ZH-0005-SM-3DB72	SRR659720
GTEX-U3ZN	GTEX-U3ZN-0006-SM-3DB7Y	SRR662847
GTEX-U412	GTEX-U412-0006-SM-3DB8J	SRR662211
GTEX-U4B1	GTEX-U4B1-0006-SM-3DB8E	SRR656071
GTEX-U8T8	GTEX-U8T8-0005-SM-3DB8F	SRR658633
GTEX-U8XE	GTEX-U8XE-0005-SM-3DB8I	SRR663088
GTEX-UJHI	GTEX-UJHI-0006-SM-3DB8H	SRR660788
GTEX-UJMC	GTEX-UJMC-0005-SM-3GACU	SRR661385
GTEX-UPJH	GTEX-UPJH-0006-SM-3GACW	SRR659935
GTEX-UPK5	GTEX-UPK5-0006-SM-3GAD8	SRR660697
GTEX-UTHO	GTEX-UTHO-0006-SM-3NMCC	SRR817373
GTEX-V1D1	GTEX-V1D1-0006-SM-3NMCE	SRR814868
GTEX-V955	GTEX-V955-0005-SM-3P5ZC	SRR5125400
GTEX-VJWN	GTEX-VJWN-0005-SM-3GIKF	SRR662198
GTEX-VJYA	GTEX-VJYA-0005-SM-3P5ZD	SRR5125397
GTEX-VUSG	GTEX-VUSG-0006-SM-3GIK9	SRR655483
GTEX-VUSH	GTEX-VUSH-0005-SM-3NB2H	SRR811491
GTEX-W5WG	GTEX-W5WG-0006-SM-3GIJT	SRR660871
GTEX-W5X1	GTEX-W5X1-0006-SM-3GIJZ	SRR657468
GTEX-WCDI	GTEX-WCDI-0005-SM-3NB2M	SRR811049
GTEX-WEY5	GTEX-WEY5-0006-SM-3GIKG	SRR663609
GTEX-WFG7	GTEX-WFG7-0005-SM-3GIKM	SRR662990
GTEX-WFG8	GTEX-WFG8-0006-SM-3GIKS	SRR661913
GTEX-WFJO	GTEX-WFJO-0005-SM-3GIKY	SRR656958
GTEX-WFON	GTEX-WFON-0005-SM-3NMC9	SRR816745
GTEX-WH7G	GTEX-WH7G-0005-SM-3NMBX	SRR818537
GTEX-WHPG	GTEX-WHPG-0006-SM-3NMBV	SRR817046
GTEX-WHSB	GTEX-WHSB-0005-SM-3LK7C	SRR816589
GTEX-WHSE	GTEX-WHSE-0006-SM-3NMBW	SRR821326
GTEX-WHWD	GTEX-WHWD-0005-SM-3LK7D	SRR813339
GTEX-WK11	GTEX-WK11-0006-SM-3NB3J	SRR812970
GTEX-WL46	GTEX-WL46-0006-SM-4OOS5	SRR1339619
GTEX-WOFL	GTEX-WOFL-0006-SM-3TW8K	SRR821653
GTEX-WOFM	GTEX-WOFM-0005-SM-3MJF3	SRR808520
GTEX-WQUQ	GTEX-WQUQ-0006-SM-3MJF4	SRR820733
GTEX-WRHK	GTEX-WRHK-0005-SM-3MJF5	SRR810391
GTEX-WRHU	GTEX-WRHU-0006-SM-3MJF6	SRR814844
GTEX-WVLH	GTEX-WVLH-0006-SM-3MJF7	SRR816250
GTEX-WWYW	GTEX-WWYW-0005-SM-3NB3K	SRR821410
GTEX-WXYG	GTEX-WXYG-0005-SM-3NB3M	SRR812461
GTEX-WY7C	GTEX-WY7C-0006-SM-3NB3L	SRR813935
GTEX-WYBS	GTEX-WYBS-0005-SM-4ONDR	SRR1345412
GTEX-WYJK	GTEX-WYJK-0005-SM-3NMA1	SRR811583
GTEX-WYVS	GTEX-WYVS-0006-SM-3NMA7	SRR816920
GTEX-WZTO	GTEX-WZTO-0006-SM-3NM9T	SRR813560
GTEX-X15G	GTEX-X15G-0005-SM-3NMDA	SRR814363
GTEX-X261	GTEX-X261-0005-SM-4PQYX	SRR1431205
GTEX-X3Y1	GTEX-X3Y1-0006-SM-3P5ZG	SRR5125340
GTEX-X4EO	GTEX-X4EO-0006-SM-3P5ZF	SRR5125595
GTEX-X4EP	GTEX-X4EP-0005-SM-3P5ZE	SRR5125580
GTEX-X4XX	GTEX-X4XX-0005-SM-3NMCS	SRR809619
GTEX-X4XY	GTEX-X4XY-0006-SM-46MV2	SRR1071931
GTEX-X585	GTEX-X585-0005-SM-46MV3	SRR1074646
GTEX-X5EB	GTEX-X5EB-0006-SM-46MV5	SRR1069024
GTEX-X62O	GTEX-X62O-0005-SM-46MV1	SRR1091452
GTEX-X638	GTEX-X638-0005-SM-47JX6	SRR1079259
GTEX-X88G	GTEX-X88G-0006-SM-47JX5	SRR1072345
GTEX-X8HC	GTEX-X8HC-0006-SM-46MV6	SRR1102031
GTEX-XAJ8	GTEX-XAJ8-0006-SM-46MVM	SRR1088168
GTEX-XBEC	GTEX-XBEC-0006-SM-4AT5T	SRR1099744
GTEX-XBED	GTEX-XBED-0006-SM-47JXO	SRR1084720
GTEX-XBEW	GTEX-XBEW-0006-SM-4AT4E	SRR1073679
GTEX-XGQ4	GTEX-XGQ4-0005-SM-4AT5U	SRR1099648
GTEX-XK95	GTEX-XK95-0005-SM-4AT4S	SRR1076847
GTEX-XLM4	GTEX-XLM4-0005-SM-4AT4P	SRR1090907
GTEX-XMD1	GTEX-XMD1-0006-SM-4AT4Q	SRR1083657
GTEX-XMD2	GTEX-XMD2-0006-SM-4WWEG	SRR1361368
GTEX-XMD3	GTEX-XMD3-0006-SM-4AT5X	SRR1101787
GTEX-XMK1	GTEX-XMK1-0005-SM-4B665	SRR1080998
GTEX-XOT4	GTEX-XOT4-0005-SM-4B64S	SRR1101483
GTEX-XPT6	GTEX-XPT6-0006-SM-4B66Q	SRR1084577
GTEX-XPVG	GTEX-XPVG-0006-SM-4B65Z	SRR1072529
GTEX-XQ3S	GTEX-XQ3S-0006-SM-4BOQ4	SRR1070813
GTEX-XQ8I	GTEX-XQ8I-0006-SM-4BOQ5	SRR1087654
GTEX-XUW1	GTEX-XUW1-0005-SM-4BOQ7	SRR1079660
GTEX-XUYS	GTEX-XUYS-0005-SM-47JZ2	SRR1101324
GTEX-XUZC	GTEX-XUZC-0005-SM-4BOQ8	SRR1099260
GTEX-XXEK	GTEX-XXEK-0005-SM-4BRWJ	SRR1077503
GTEX-XYKS	GTEX-XYKS-0005-SM-4BRUD	SRR1072871
GTEX-Y111	GTEX-Y111-0006-SM-4SOIO	SRR1333209
GTEX-Y114	GTEX-Y114-0006-SM-4TT76	SRR1447523
GTEX-Y3I4	GTEX-Y3I4-0006-SM-4TT1E	SRR1474839
GTEX-Y3IK	GTEX-Y3IK-0005-SM-4WWDE	SRR1490115
GTEX-Y5LM	GTEX-Y5LM-0005-SM-4V6EJ	SRR1355102
GTEX-Y5V5	GTEX-Y5V5-0006-SM-4V6FE	SRR1446850
GTEX-Y5V6	GTEX-Y5V6-0005-SM-4V6FD	SRR1407758
GTEX-Y8DK	GTEX-Y8DK-0005-SM-4RGNR	SRR1429468
GTEX-Y8E4	GTEX-Y8E4-0006-SM-4V6EW	SRR1435560
GTEX-Y8E5	GTEX-Y8E5-0006-SM-47JWQ	SRR1092422
GTEX-Y8LW	GTEX-Y8LW-0005-SM-4V6EV	SRR1433860
GTEX-Y9LG	GTEX-Y9LG-0006-SM-4VBRK	SRR1382615
GTEX-YB5E	GTEX-YB5E-0005-SM-4VDSO	SRR1331684
GTEX-YB5K	GTEX-YB5K-0005-SM-4VDSP	SRR1469614
GTEX-YBZK	GTEX-YBZK-0005-SM-59HKG	SRR1394406
GTEX-YEC3	GTEX-YEC3-0005-SM-4W21J	SRR1330522
GTEX-YEC4	GTEX-YEC4-0001-SM-4W1Y6	SRR1386967
GTEX-YECK	GTEX-YECK-0005-SM-4W217	SRR1499958
GTEX-YF7O	GTEX-YF7O-0005-SM-4W1ZU	SRR1453456
GTEX-YFC4	GTEX-YFC4-0006-SM-4RGLV	SRR1440491
GTEX-YFCO	GTEX-YFCO-0005-SM-4W1ZI	SRR1440852
GTEX-Z93S	GTEX-Z93S-0005-SM-4RGLW	SRR1452604
GTEX-ZAB4	GTEX-ZAB4-0005-SM-4RGM8	SRR1468850
GTEX-ZC5H	GTEX-ZC5H-0005-SM-4WAXM	SRR1404401
GTEX-ZDTS	GTEX-ZDTS-0006-SM-4WAYZ	SRR1336263
GTEX-ZDTT	GTEX-ZDTT-0006-SM-4WKFP	SRR1326536
GTEX-ZDXO	GTEX-ZDXO-0006-SM-4WKGF	SRR1420320
GTEX-ZDYS	GTEX-ZDYS-0002-SM-4WKGR	SRR1400054
GTEX-ZE7O	GTEX-ZE7O-0006-SM-51MTA	SRR1406088
GTEX-ZE9C	GTEX-ZE9C-0006-SM-4WKG2	SRR1367432
GTEX-ZEX8	GTEX-ZEX8-0005-SM-4WKGE	SRR1338964
GTEX-ZF28	GTEX-ZF28-0005-SM-4WKH3	SRR1374647
GTEX-ZF29	GTEX-ZF29-0006-SM-4WKGQ	SRR1413810
GTEX-ZF2S	GTEX-ZF2S-0006-SM-4WKHF	SRR1489926
